Comment,Description,Designator,Footprint,Quantity
,,,,
74LVC1G125,,"U301, U302, U304, U305, U306, U307, U309, U310",DBV5,8
ADV7611BSWZ,,U303,LQFP64-SLUG,1
0.47uF,Capacitor,"C103, C107, C111, C112, C114, C119, C313",CAP0603N,7
1000pF/2kV,Capacitor,C335,DEBB33D102KC3A,1
12pF,Capacitor,"C209, C210",CAP0603N,2
1uF,Capacitor,"C109, C116, C120, C203, C204, C208, C307, C314, C317",CAP0603N,9
2.2uF,Capacitor,"C101, C105, C118, C124",CAP0603N,4
22pF,Capacitor,"C305, C306",CAP0603N,2
10uF/10V,Polarized Capacitor (Surface Mount),C122,1206C,1
0.1uF,"Capacitor, 电容","C102, C104, C106, C108, C110, C113, C115, C117, C121, C123, C202, C205, C206, C207, C211, C301, C302, C303, C304, C309, C310, C311, C312, C315, C316, C318, C319, C320, C321, C322, C323, C324, C326, C328, C329, C331, C332, C333, C336, C401, C404, C405, C408, C409, C412",CAP0603N,45
CM2020-00TR/TPD12S520DBTR,,U308,TSSOP-38,1
32MHz,Crystal Oscillate,Y101,CX3225SB,1
26.6363,,Y301,CX3225SB,1
6MHz,,Y202,CX3225SB,1
SS34,贴片二极管,"D202, D301",DO-214AC-B(UT),2
EPCS16SI8N,"EPCS1 Series, In-system programmable 3.3V serial configuration device, 8-Pin SOIC, 1-Megabit, Industrial Grade, Pb-Free",U102,SOIC8N,1
FT2232C,"Dual USB UART/FIFO Chip, LQFP-48",U202,LQFP-48,1
46765-1301,,J301,1747981-1,1
93CXXB,"Header, 8-Pin",U204,SOIC8,1
Header 10,"Header, 10-Pin",P303,KF250-2.5-10P-A,1
0R,"Inductor, Resistor","L101, R202, R205, R207",RES0603N,4
blue-LED,"Typical RED, GREEN, YELLOW, AMBER GaAs LED","D101, D102, D203, D204, D302",0603_LED,5
ASM1117-1.8V,,U402,SOT-223,1
ASM1117-3.3V,,U401,SOT-223,1
ASM1117-1.2V,,U403,SOT-223,1
473460001,,J202,USB_MICRO_AB,1
BSS123,N-Channel MOSFET,"Q301, Q302, Q303",SOT23-3N,3
100K,Resistor SMD,"R309, R319",RES0603N,2
1K5,Resistor,R208,RES0603N,1
27K,Resistor SMD,R305,RES0603N,1
330R,Resistor SMD,R103,RES0603N,1
47K,Resistor SMD,"R310, R311, R312",RES0603N,3
10K,"Resistor, Resistor SMD","R101, R104, R214, R304",RES0603N,4
1K,"Resistor, Resistor SMD","R105, R317",RES0603N,2
22R,"Resistor, Resistor SMD","R203, R204, R206, R209, R210, R314, R316",RES0603N,7
2K2,Resistor,"R213, R318",RES0603N,2
4K7,"Resistor, Resistor SMD","R301, R302, R303, R306, R307",RES0603N,5
0R,Resistor SMD,"R308, R313, R315, R320, R321, R401, R402, R403",RES0805N,8
680R,Resistor,"R102, R211, R212",RES0603N,3
SM05,,U203,SOT23-3N,1
SW-PB,KEY,S101,KEY-4.5,1
TP,,"TP201, TP202, TP203, TP204, TP205, TP206",TP12,6
XC6SLX9-2TQG144C,"Spartan-6 LX 1.2V FPGA, 102 User I/Os, 144-Pin TQFP (0.5mm Pitch), Speed Grade 2, Commercial Grade, Pb-Free",U101,LQFP-144-ADI-M,1
10uF/16V,钽电容,"C325, C327, C330, C334, C337, C402, C406, C410",1206C,8
22uF/10V,钽电容,"C403, C407, C411",1206C,3
