Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C335       DEBB33D102KC3A    4902.362mil       1737mil       5050mil       1737mil       5050mil       1737mil  T        180.00 1000pF/2kV     
TP206      TP12                  4207mil       2174mil       4207mil       2174mil       4207mil       2174mil  T        180.00 TP             
TP205      TP12                  4119mil       2266mil       4119mil       2266mil       4119mil       2266mil  T        180.00 TP             
TP204      TP12                  4207mil       2266mil       4207mil       2266mil       4207mil       2266mil  T        180.00 TP             
TP203      TP12                  4207mil       2082mil       4207mil       2082mil       4207mil       2082mil  T        180.00 TP             
TP202      TP12                  4119mil       2082mil       4119mil       2082mil       4119mil       2082mil  T        180.00 TP             
TP201      TP12                  4119mil       2174mil       4119mil       2174mil       4119mil       2174mil  T        180.00 TP             
U202       LQFP-48             3652.3mil     1995.1mil       3544mil       1829mil       3544mil       1829mil  T         90.00 FT2232C        
L101       RES0603N              1698mil   2137.509mil       1698mil   2104.044mil       1698mil   2104.044mil  T         90.00 0R             
C122       1206C                 1966mil   2185.882mil       1966mil       2242mil       1966mil       2242mil  T        270.00 10uF/10V       
Y301       CX3225SB          3486.787mil    937.897mil       3536mil    974.315mil       3536mil    974.314mil  T        180.00 26.6363        
Y202       CX3225SB          3308.417mil   1908.787mil       3272mil       1958mil       3272mil       1958mil  T        270.00 6MHz           
U403       SOT-223           1360.449mil   1226.858mil       1451mil       1343mil       1451mil       1343mil  T        180.00 ASM1117-3.3V   
U402       SOT-223           1371.449mil   1642.858mil       1462mil       1759mil       1462mil       1759mil  T        180.00 ASM1117-1.8V   
U401       SOT-223           1366.449mil   2042.988mil       1457mil    2159.13mil       1457mil    2159.13mil  T        180.00 ASM1117-3.3V   
S101       KEY-4.5            471.984mil   2111.054mil        596mil       2052mil        596mil       2052mil  T        180.00 SW-PB          
R403       RES0805N            1156.5mil       1161mil       1119mil       1161mil       1119mil       1161mil  T        360.00 0R             
R402       RES0805N            1156.5mil       1568mil       1119mil       1568mil       1119mil       1568mil  T        360.00 0R             
R401       RES0805N            1151.5mil       1997mil       1114mil       1997mil       1114mil       1997mil  T        360.00 0R             
Q303       SOT23-3N          4409.402mil   1723.214mil       4372mil   1685.812mil       4372mil   1685.812mil  T          0.00 BSS123         
Q302       SOT23-3N          4561.402mil   1723.214mil       4524mil   1685.812mil       4524mil   1685.812mil  T          0.00 BSS123         
Q301       SOT23-3N          4245.598mil    947.598mil       4283mil        985mil       4283mil        985mil  T        180.00 BSS123         
J301       1747981-1         4972.346mil   1197.835mil       4844mil       1375mil   4836.126mil       1375mil  T         90.00 46765-1301     
J202       USB_MICRO_AB      5026.658mil       2004mil       4985mil       2004mil       4963mil   1952.818mil  T        270.00 473460001      
D302       0603_LED              4343mil    932.858mil       4343mil    929.358mil       4343mil    899.358mil  T         90.00 blue-LED       
D301       DO-214AC-B(UT)     993.941mil    926.434mil        958mil        901mil    909.296mil    926.434mil  T        180.00 SS34           
D204       0603_LED            4461.5mil   2163.004mil       4465mil   2163.003mil       4495mil   2163.004mil  T        180.00 blue-LED       
D203       0603_LED            4461.5mil   2231.004mil       4465mil   2231.003mil       4495mil   2231.004mil  T        180.00 blue-LED       
D202       DO-214AC-B(UT)    4691.059mil   1903.566mil       4727mil       1929mil   4775.704mil   1903.566mil  T        360.00 SS34           
C412       CAP0603N              1530mil   1311.508mil       1530mil   1343.004mil       1530mil   1343.004mil  T        270.00 0.1uF          
C411       1206C                 1609mil   1300.118mil       1609mil       1244mil       1609mil       1244mil  T         90.00 22uF/10V       
C410       1206C                 1121mil   1294.697mil       1121mil    1238.58mil       1121mil    1238.58mil  T         90.00 10uF/16V       
C409       CAP0603N              1198mil   1311.508mil       1198mil   1343.004mil       1198mil   1343.004mil  T        270.00 0.1uF          
C408       CAP0603N              1537mil   1732.504mil       1537mil       1764mil       1537mil       1764mil  T        270.00 0.1uF          
C407       1206C                 1609mil   1715.694mil       1609mil   1659.575mil       1609mil   1659.576mil  T         90.00 22uF/10V       
C406       1206C                 1132mil   1715.694mil       1132mil   1659.576mil       1132mil   1659.575mil  T         90.00 10uF/16V       
C405       CAP0603N              1209mil   1732.504mil       1209mil       1764mil       1209mil       1764mil  T        270.00 0.1uF          
C404       CAP0603N              1534mil    2137.51mil       1534mil   2106.014mil       1534mil   2106.014mil  T         90.00 0.1uF          
C403       1206C                 1612mil   2120.698mil       1612mil   2176.815mil       1612mil   2176.816mil  T        270.00 22uF/10V       
C402       1206C                 1127mil   2120.698mil       1127mil   2064.581mil       1127mil   2064.579mil  T         90.00 10uF/16V       
C401       CAP0603N              1204mil   2137.508mil       1204mil   2169.005mil       1204mil   2169.004mil  T        270.00 0.1uF          
C337       1206C                 3981mil   1756.304mil       3981mil   1700.185mil       3981mil   1700.186mil  T         90.00 10uF/16V       
C336       CAP0603N              4064mil    1739.49mil       4064mil   1770.986mil       4064mil   1770.986mil  T        270.00 0.1uF          
C334       1206C                 3155mil   1595.118mil       3155mil       1539mil       3155mil       1539mil  T         90.00 10uF/16V       
C333       CAP0603N              3236mil   1578.306mil       3236mil   1609.802mil       3236mil   1609.802mil  T        270.00 0.1uF          
C332       CAP0603N              4661mil   1557.466mil       4661mil    1525.97mil       4661mil    1525.97mil  T         90.00 0.1uF          
C331       CAP0603N              4383mil   1557.466mil       4383mil   1525.971mil       4383mil    1525.97mil  T         90.00 0.1uF          
C330       1206C                 3155mil   1164.304mil       3155mil   1108.185mil       3155mil   1108.186mil  T         90.00 10uF/16V       
C329       CAP0603N              3236mil    1147.49mil       3236mil   1178.986mil       3236mil   1178.986mil  T        270.00 0.1uF          
C328       CAP0603N               880mil   2052.936mil        880mil   2084.432mil        880mil   2084.432mil  T        270.00 0.1uF          
C327       1206C                 3155mil   1379.304mil       3155mil   1323.185mil       3155mil   1323.186mil  T         90.00 10uF/16V       
C326       CAP0603N              3236mil    1362.49mil       3236mil   1393.986mil       3236mil   1393.986mil  T        270.00 0.1uF          
C325       1206C                 3983mil   1562.304mil       3983mil   1506.185mil       3983mil   1506.186mil  T         90.00 10uF/16V       
C324       CAP0603N              4062mil    1545.49mil       4062mil   1576.986mil       4062mil   1576.986mil  T        270.00 0.1uF          
C323       CAP0603N               880mil   1916.794mil        880mil   1948.291mil        880mil    1948.29mil  T        270.00 0.1uF          
C322       CAP0603N          4134.506mil       1404mil    4103.01mil       1404mil    4103.01mil       1404mil  T        360.00 0.1uF          
C321       CAP0603N              4454mil   1557.464mil       4454mil    1588.96mil       4454mil    1588.96mil  T        270.00 0.1uF          
C320       CAP0603N               880mil   1780.652mil        880mil   1812.148mil        880mil   1812.148mil  T        270.00 0.1uF          
C319       CAP0603N          4001.496mil       1335mil       3970mil       1335mil       3970mil       1335mil  T        360.00 0.1uF          
C318       CAP0603N          4001.496mil       1268mil       3970mil       1268mil       3970mil       1268mil  T        360.00 0.1uF          
C317       CAP0603N          4001.496mil   1201.998mil       3970mil   1201.998mil       3970mil   1201.998mil  T        360.00 1uF            
C316       CAP0603N          4001.496mil       1404mil       3970mil       1404mil       3970mil       1404mil  T        360.00 0.1uF          
C315       CAP0603N          4001.496mil       1136mil       3970mil       1136mil       3970mil       1136mil  T        360.00 0.1uF          
C314       CAP0603N          4134.504mil   1268.002mil       4166mil   1268.002mil       4166mil   1268.002mil  T        180.00 1uF            
C313       CAP0603N          4134.504mil       1202mil       4166mil       1202mil       4166mil       1202mil  T        180.00 0.47uF         
C312       CAP0603N          4134.504mil   1136.002mil       4166mil   1136.002mil       4166mil   1136.002mil  T        180.00 0.1uF          
C311       CAP0603N               880mil   1372.222mil        880mil   1403.719mil        880mil   1403.718mil  T        270.00 0.1uF          
C310       CAP0603N              3076mil    936.848mil       3076mil    968.345mil       3076mil    968.344mil  T        270.00 0.1uF          
C309       CAP0603N          3296.572mil    936.848mil   3296.571mil    968.345mil   3296.572mil    968.344mil  T        270.00 0.1uF          
C307       CAP0603N          3442.504mil       1696mil       3474mil       1696mil       3474mil       1696mil  T        180.00 1uF            
C306       CAP0603N              3361mil    936.848mil       3361mil    968.345mil       3361mil    968.344mil  T        270.00 22pF           
C305       CAP0603N              3601mil     936.85mil       3601mil    905.355mil       3601mil    905.354mil  T         90.00 22pF           
C304       CAP0603N               880mil   1099.938mil        880mil   1131.434mil        880mil   1131.434mil  T        270.00 0.1uF          
C303       CAP0603N               880mil    1236.08mil        880mil   1267.575mil        880mil   1267.576mil  T        270.00 0.1uF          
C302       CAP0603N               880mil   1508.366mil        880mil   1539.862mil        880mil   1539.862mil  T        270.00 0.1uF          
C301       CAP0603N               880mil   1644.508mil        880mil   1676.004mil        880mil   1676.004mil  T        270.00 0.1uF          
C123       CAP0603N              1765mil   2137.508mil       1765mil   2169.005mil       1765mil   2169.004mil  T        270.00 0.1uF          
C121       CAP0603N              3162mil   2194.496mil       3162mil       2163mil       3162mil       2163mil  T         90.00 0.1uF          
C120       CAP0603N              2966mil   1393.838mil       2966mil   1425.333mil       2966mil   1425.334mil  T        270.00 1uF            
C119       CAP0603N              2522mil    941.504mil       2522mil        973mil       2522mil        973mil  T        270.00 0.47uF         
C118       CAP0603N              2356mil    941.504mil       2356mil        973mil       2356mil        973mil  T        270.00 2.2uF          
C117       CAP0603N              2382mil   2173.496mil       2382mil       2142mil       2382mil       2142mil  T         90.00 0.1uF          
C116       CAP0603N          1726.504mil       1516mil       1758mil       1516mil       1758mil       1516mil  T        180.00 1uF            
C115       CAP0603N              2463mil   2173.496mil       2463mil       2142mil       2463mil       2142mil  T         90.00 0.1uF          
C101       CAP0603N          1726.504mil       1449mil       1758mil       1449mil       1758mil       1449mil  T        180.00 2.2uF          
C102       CAP0603N          1726.504mil       1381mil       1758mil       1381mil       1758mil       1381mil  T        180.00 0.1uF          
C114       CAP0603N              2598mil   2173.496mil       2598mil       2142mil       2598mil       2142mil  T         90.00 0.47uF         
C203       CAP0603N          3309.466mil       2099mil    3277.97mil       2099mil    3277.97mil       2099mil  T        360.00 1uF            
C204       cap0603n          3567.496mil   2257.998mil       3536mil   2257.998mil       3536mil   2257.998mil  T        360.00 1uF            
C205       cap0603n          3771.504mil       2258mil       3803mil       2258mil       3803mil       2258mil  T        180.00 0.1uF          
C206       CAP0603N              4576mil   2054.504mil       4576mil       2086mil       4576mil       2086mil  T        270.00 0.1uF          
C207       CAP0603N          3845.496mil       1695mil       3814mil       1695mil       3814mil       1695mil  T        360.00 0.1uF          
C208       CAP0603N              4870mil   1894.496mil       4870mil       1863mil       4870mil       1863mil  T         90.00 1uF            
C209       CAP0603N          3309.464mil       1787mil   3340.961mil       1787mil    3340.96mil       1787mil  T        180.00 12pF           
C210       CAP0603N          3309.466mil       2028mil    3277.97mil       2028mil    3277.97mil       2028mil  T        360.00 12pF           
C211       CAP0603N              4585mil   2196.494mil       4585mil    2227.99mil       4585mil    2227.99mil  T        270.00 0.1uF          
D101       0603_LED          1731.496mil       1833mil   1734.996mil       1833mil   1764.996mil       1833mil  T        180.00 blue-LED       
D102       0603_LED          2992.544mil       1876mil   2989.044mil       1876mil   2959.044mil       1876mil  T        360.00 blue-LED       
R101       RES0603N               691mil   2088.535mil        691mil       2122mil        691mil       2122mil  T        270.00 10K            
R102       RES0603N          1727.505mil       1905mil    1760.97mil       1905mil    1760.97mil       1905mil  T        180.00 680R           
R103       RES0603N          2997.097mil       1938mil   2963.631mil       1938mil   2963.632mil       1938mil  T        360.00 330R           
R104       RES0603N              2756mil    941.505mil       2756mil     908.04mil       2756mil     908.04mil  T         90.00 10K            
R105       RES0603N          2997.097mil       1811mil   3030.561mil       1811mil   3030.562mil       1811mil  T        180.00 1K             
R202       RES0603N          3577.505mil       1696mil    3610.97mil       1696mil    3610.97mil       1696mil  T        180.00 0R             
R203       RES0603N          4008.497mil       2204mil   4041.961mil       2204mil   4041.962mil       2204mil  T        180.00 22R            
R204       RES0603N          4008.497mil       2136mil   4041.961mil       2136mil   4041.962mil       2136mil  T        180.00 22R            
R205       RES0603N          4681.465mil       2017mil       4648mil       2017mil       4648mil       2017mil  T        360.00 0R             
R206       RES0603N          4008.497mil       2065mil   4041.961mil       2065mil   4041.962mil       2065mil  T        180.00 22R            
R207       RES0603N          4681.465mil       2092mil       4648mil       2092mil       4648mil       2092mil  T        360.00 0R             
R208       RES0603N          3977.002mil   1939.465mil       3977mil       1906mil   3977.002mil       1906mil  T         90.00 1K5            
R209       RES0603N          3309.465mil       2176mil       3276mil       2176mil       3276mil       2176mil  T        360.00 22R            
R210       RES0603N          3309.465mil       2245mil       3276mil       2245mil       3276mil       2245mil  T        360.00 22R            
R211       RES0603N          4318.465mil   2232.998mil       4285mil   2232.998mil       4285mil   2232.998mil  T        360.00 680R           
R212       RES0603N          4318.465mil   2164.998mil       4285mil   2164.998mil       4285mil   2164.998mil  T        360.00 680R           
R213       RES0603N              4116mil   1939.465mil       4116mil    1972.93mil       4116mil    1972.93mil  T        270.00 2K2            
R214       RES0603N              4043mil   1939.465mil       4043mil       1906mil       4043mil       1906mil  T         90.00 10K            
R301       RES0603N              3219mil    936.849mil       3219mil    970.315mil       3219mil    970.314mil  T        270.00 4K7            
R302       RES0603N              3007mil    936.849mil       3007mil    970.316mil       3007mil    970.314mil  T        270.00 4K7            
R303       RES0603N              3148mil    936.849mil       3148mil    970.314mil       3148mil    970.314mil  T        270.00 4K7            
R304       RES0603N          4134.505mil   1335.002mil    4167.97mil   1335.002mil    4167.97mil   1335.002mil  T        180.00 10K            
R305       RES0603N              4472mil    936.849mil       4472mil    970.315mil       4472mil    970.314mil  T        270.00 27K            
R306       RES0603N              4605mil    936.849mil       4605mil    970.315mil       4605mil    970.314mil  T        270.00 4K7            
R307       RES0603N              4537mil    936.849mil       4537mil    970.314mil       4537mil    970.314mil  T        270.00 4K7            
R308       RES0805N              4144mil   1549.499mil       4144mil   1511.999mil       4144mil   1511.999mil  T         90.00 0R             
R309       RES0603N              3904mil    936.849mil       3904mil    970.315mil       3904mil    970.314mil  T        270.00 100K           
R310       RES0603N          3760.286mil    936.849mil   3760.285mil    970.315mil   3760.286mil    970.314mil  T        270.00 47K            
R311       RES0603N          3832.142mil    936.849mil   3832.143mil    970.315mil   3832.142mil    970.314mil  T        270.00 47K            
R312       RES0603N          3688.428mil    936.849mil   3688.428mil    970.314mil   3688.428mil    970.314mil  T        270.00 47K            
R313       RES0805N              3074mil   1366.501mil       3074mil   1329.001mil       3074mil   1329.001mil  T         90.00 0R             
R314       RES0603N              3977mil    936.849mil       3977mil    903.385mil       3977mil    903.384mil  T         90.00 22R            
R315       RES0805N              3074mil     1151.5mil       3074mil       1114mil       3074mil       1114mil  T         90.00 0R             
R316       RES0603N              4043mil    936.849mil       4043mil    903.385mil       4043mil    903.384mil  T         90.00 22R            
R317       RES0603N              4521mil   1557.465mil       4521mil   1523.999mil       4521mil       1524mil  T         90.00 1K             
R318       RES0603N              4402mil    936.849mil       4402mil    970.313mil       4402mil    970.314mil  T        270.00 2K2            
R319       RES0603N              4593mil   1557.465mil       4593mil    1590.93mil       4593mil    1590.93mil  T        270.00 100K           
R320       RES0805N              3074mil   1582.316mil       3074mil   1544.815mil       3074mil   1544.816mil  T         90.00 0R             
R321       RES0805N              4140mil     1743.5mil       4140mil       1706mil       4140mil       1706mil  T         90.00 0R             
U102       SOIC8N            2978.504mil   2139.969mil       3093mil       2065mil       3093mil       2065mil  T        180.00 EPCS16SI8N     
U203       SOT23-3N          4825.598mil   2054.402mil       4863mil       2017mil       4863mil       2017mil  T         90.00 SM05           
U204       SOIC8                 4367mil   1947.032mil       4244mil       2022mil       4244mil       2022mil  T        360.00 93CXXB         
U301       DBV5                   989mil   2048.999mil        989mil       2049mil   1036.244mil   2011.598mil  T         90.00 74LVC1G125     
U302       DBV5                   989mil   1912.857mil        989mil   1912.857mil   1036.244mil   1875.456mil  T         90.00 74LVC1G125     
U304       DBV5                   989mil   1776.715mil        989mil   1776.714mil   1036.244mil   1739.314mil  T         90.00 74LVC1G125     
U305       DBV5                   989mil   1640.571mil        989mil   1640.571mil   1036.244mil    1603.17mil  T         90.00 74LVC1G125     
U306       DBV5                   989mil   1504.429mil        989mil   1504.428mil   1036.244mil   1467.028mil  T         90.00 74LVC1G125     
U307       DBV5                   989mil   1368.285mil        989mil   1368.286mil   1036.244mil   1330.884mil  T         90.00 74LVC1G125     
U308       TSSOP-38          4464.795mil   1237.835mil       4327mil       1415mil       4327mil       1415mil  T        360.00 CM2020-00TR/TPD12S520DBTR
U309       DBV5                   989mil   1232.143mil        989mil   1232.143mil   1036.244mil   1194.742mil  T         90.00 74LVC1G125     
